everyday-thing	turker	triplet	label
air conditioner	worker_100	('hot coils', 'connects', 'expansion valve')	True
air conditioner	worker_100	('hot coils', 'connects', 'compressor')	True
air conditioner	worker_100	('expansion valve', 'connects', 'cold coils')	True
air conditioner	worker_100	('compressor', 'connects', 'cold coils')	True
air conditioner	worker_100	('expansion valve', 'connects', 'hot coils')	True
air conditioner	worker_100	('compressor', 'connects', 'hot coils')	True
air conditioner	worker_100	('cold coils', 'connects', 'expansion valve')	True
air conditioner	worker_100	('cold coils', 'connects', 'compressor')	True
air conditioner	worker_101	('hot coils', 'connects', 'compressor')	True
air conditioner	worker_101	('hot coils', 'requires', 'compressor')	True
air conditioner	worker_101	('hot coils', 'connects', 'expansion valve')	True
air conditioner	worker_101	('compressor', 'connects', 'cold coils')	True
air conditioner	worker_101	('cold coils', 'requires', 'compressor')	True
air conditioner	worker_101	('cold coils', 'connects', 'expansion valve')	True
air conditioner	worker_101	('compressor', 'connects', 'hot coils')	True
air conditioner	worker_101	('compressor', 'requires', 'hot coils')	False
air conditioner	worker_101	('compressor', 'required by', 'hot coils')	True
air conditioner	worker_101	('expansion valve', 'connects', 'hot coils')	True
air conditioner	worker_101	('cold coils', 'connects', 'compressor')	True
air conditioner	worker_101	('compressor', 'requires', 'cold coils')	False
air conditioner	worker_101	('compressor', 'required by', 'cold coils')	True
air conditioner	worker_101	('expansion valve', 'connects', 'cold coils')	True
air conditioner	worker_101	('hot coils', 'required by', 'compressor')	False
air conditioner	worker_101	('cold coils', 'required by', 'compressor')	False
air conditioner	worker_102	('compressor', 'requires', 'condenser')	True
air conditioner	worker_102	('compressor', 'connects', 'condenser')	True
air conditioner	worker_102	('compressor', 'requires', 'evaporator')	True
air conditioner	worker_102	('compressor', 'connects', 'evaporator')	True
air conditioner	worker_102	('condenser', 'requires', 'expansion valve')	True
air conditioner	worker_102	('condenser', 'connects', 'expansion valve')	True
air conditioner	worker_102	('evaporator', 'requires', 'expansion valve')	True
air conditioner	worker_102	('evaporator', 'connects', 'expansion valve')	True
air conditioner	worker_102	('condenser', 'requires', 'compressor')	False
air conditioner	worker_102	('condenser', 'required by', 'compressor')	True
air conditioner	worker_102	('condenser', 'connects', 'compressor')	True
air conditioner	worker_102	('evaporator', 'requires', 'compressor')	False
air conditioner	worker_102	('evaporator', 'required by', 'compressor')	True
air conditioner	worker_102	('evaporator', 'connects', 'compressor')	True
air conditioner	worker_102	('expansion valve', 'requires', 'condenser')	False
air conditioner	worker_102	('expansion valve', 'required by', 'condenser')	True
air conditioner	worker_102	('expansion valve', 'connects', 'condenser')	True
air conditioner	worker_102	('expansion valve', 'requires', 'evaporator')	False
air conditioner	worker_102	('expansion valve', 'required by', 'evaporator')	True
air conditioner	worker_102	('expansion valve', 'connects', 'evaporator')	True
air conditioner	worker_102	('compressor', 'required by', 'condenser')	False
air conditioner	worker_102	('compressor', 'required by', 'evaporator')	False
air conditioner	worker_102	('condenser', 'required by', 'expansion valve')	False
air conditioner	worker_102	('evaporator', 'required by', 'expansion valve')	False
bicycle	worker_101	('brake lever', 'connects', 'left handlebar')	True
bicycle	worker_101	('left handlebar', 'above', 'frame')	True
bicycle	worker_101	('left handlebar', 'connects', 'frame')	True
bicycle	worker_101	('seat', 'above', 'frame')	True
bicycle	worker_101	('seat', 'connects', 'frame')	True
bicycle	worker_101	('brake', 'connects', 'frame')	True
bicycle	worker_101	('chain', 'connects', 'frame')	True
bicycle	worker_101	('gear', 'connects', 'frame')	True
bicycle	worker_101	('rear wheel', 'connects', 'frame')	True
bicycle	worker_101	('front wheel', 'connects', 'frame')	True
bicycle	worker_101	('right handlebar', 'connects', 'frame')	True
bicycle	worker_101	('right handlebar', 'above', 'frame')	True
bicycle	worker_101	('front wheel', 'behind', 'rear wheel')	True
bicycle	worker_101	('chain', 'surrounds', 'gear')	True
bicycle	worker_101	('chain', 'connects', 'gear')	True
bicycle	worker_101	('gear', 'connects', 'pedals')	True
bicycle	worker_101	('brake', 'next to', 'rear wheel')	True
bicycle	worker_101	('left handlebar', 'connects', 'brake lever')	True
bicycle	worker_101	('frame', 'above', 'left handlebar')	False
bicycle	worker_101	('frame', 'below', 'left handlebar')	True
bicycle	worker_101	('frame', 'connects', 'left handlebar')	True
bicycle	worker_101	('frame', 'above', 'seat')	False
bicycle	worker_101	('frame', 'below', 'seat')	True
bicycle	worker_101	('frame', 'connects', 'seat')	True
bicycle	worker_101	('frame', 'connects', 'brake')	True
bicycle	worker_101	('frame', 'connects', 'chain')	True
bicycle	worker_101	('frame', 'connects', 'gear')	True
bicycle	worker_101	('frame', 'connects', 'rear wheel')	True
bicycle	worker_101	('frame', 'connects', 'front wheel')	True
bicycle	worker_101	('frame', 'connects', 'right handlebar')	True
bicycle	worker_101	('frame', 'above', 'right handlebar')	False
bicycle	worker_101	('frame', 'below', 'right handlebar')	True
bicycle	worker_101	('rear wheel', 'behind', 'front wheel')	False
bicycle	worker_101	('rear wheel', 'in front of', 'front wheel')	True
bicycle	worker_101	('gear', 'surrounds', 'chain')	False
bicycle	worker_101	('gear', 'surrounded by', 'chain')	True
bicycle	worker_101	('gear', 'connects', 'chain')	True
bicycle	worker_101	('pedals', 'connects', 'gear')	True
bicycle	worker_101	('rear wheel', 'next to', 'brake')	True
bicycle	worker_101	('left handlebar', 'below', 'frame')	False
bicycle	worker_101	('seat', 'below', 'frame')	False
bicycle	worker_101	('right handlebar', 'below', 'frame')	False
bicycle	worker_101	('front wheel', 'in front of', 'rear wheel')	False
bicycle	worker_101	('chain', 'surrounded by', 'gear')	False
bicycle	worker_102	('handlebars', 'connects', 'brake lever')	True
bicycle	worker_102	('brake lever', 'requires', 'brake')	True
bicycle	worker_102	('brake', 'connects', 'frame')	True
bicycle	worker_102	('handlebars', 'connects', 'frame')	True
bicycle	worker_102	('wheels', 'connects', 'frame')	True
bicycle	worker_102	('seat', 'connects', 'frame')	True
bicycle	worker_102	('frame', 'above', 'pedals')	True
bicycle	worker_102	('pedals', 'requires', 'gear')	True
bicycle	worker_102	('gear', 'connects', 'wheels')	True
bicycle	worker_102	('pedals', 'requires', 'chain')	True
bicycle	worker_102	('wheels', 'connects', 'chain')	True
bicycle	worker_102	('brake lever', 'connects', 'handlebars')	True
bicycle	worker_102	('brake', 'requires', 'brake lever')	False
bicycle	worker_102	('brake', 'required by', 'brake lever')	True
bicycle	worker_102	('frame', 'connects', 'brake')	True
bicycle	worker_102	('frame', 'connects', 'handlebars')	True
bicycle	worker_102	('frame', 'connects', 'wheels')	True
bicycle	worker_102	('frame', 'connects', 'seat')	True
bicycle	worker_102	('pedals', 'above', 'frame')	False
bicycle	worker_102	('pedals', 'below', 'frame')	True
bicycle	worker_102	('gear', 'requires', 'pedals')	False
bicycle	worker_102	('gear', 'required by', 'pedals')	True
bicycle	worker_102	('wheels', 'connects', 'gear')	True
bicycle	worker_102	('chain', 'requires', 'pedals')	False
bicycle	worker_102	('chain', 'required by', 'pedals')	True
bicycle	worker_102	('chain', 'connects', 'wheels')	True
bicycle	worker_102	('brake lever', 'required by', 'brake')	False
bicycle	worker_102	('frame', 'below', 'pedals')	False
bicycle	worker_102	('pedals', 'required by', 'gear')	False
bicycle	worker_102	('pedals', 'required by', 'chain')	False
bicycle	worker_103	('seat', 'above', 'frame')	True
bicycle	worker_103	('frame', 'behind', 'handlebars')	True
bicycle	worker_103	('frame', 'above', 'pedals')	True
bicycle	worker_103	('pedals', 'connects', 'gear')	True
bicycle	worker_103	('gear', 'connects', 'chain')	True
bicycle	worker_103	('brake lever', 'part of', 'handlebars')	True
bicycle	worker_103	('brake lever', 'connects', 'brake')	True
bicycle	worker_103	('brake', 'surrounds', 'wheels')	True
bicycle	worker_103	('frame', 'above', 'seat')	False
bicycle	worker_103	('frame', 'below', 'seat')	True
bicycle	worker_103	('handlebars', 'behind', 'frame')	False
bicycle	worker_103	('handlebars', 'in front of', 'frame')	True
bicycle	worker_103	('pedals', 'above', 'frame')	False
bicycle	worker_103	('pedals', 'below', 'frame')	True
bicycle	worker_103	('gear', 'connects', 'pedals')	True
bicycle	worker_103	('chain', 'connects', 'gear')	True
bicycle	worker_103	('handlebars', 'part of', 'brake lever')	False
bicycle	worker_103	('handlebars', 'has part', 'brake lever')	True
bicycle	worker_103	('brake', 'connects', 'brake lever')	True
bicycle	worker_103	('wheels', 'surrounds', 'brake')	False
bicycle	worker_103	('wheels', 'surrounded by', 'brake')	True
bicycle	worker_103	('seat', 'above', 'pedals')	True
bicycle	worker_103	('pedals', 'below', 'seat')	True
bicycle	worker_103	('seat', 'below', 'frame')	False
bicycle	worker_103	('frame', 'in front of', 'handlebars')	False
bicycle	worker_103	('frame', 'below', 'pedals')	False
bicycle	worker_103	('brake lever', 'has part', 'handlebars')	False
bicycle	worker_103	('brake', 'surrounded by', 'wheels')	False
bicycle	worker_103	('pedals', 'above', 'seat')	False
bicycle	worker_103	('seat', 'below', 'pedals')	False
binoculars	worker_101	('diopter', 'connects', 'adjustable eye cup')	True
binoculars	worker_101	('diopter', 'next to', 'adjustable eye cup')	True
binoculars	worker_101	('diopter', 'next to', 'focus')	True
binoculars	worker_101	('diopter', 'connects', 'frame')	True
binoculars	worker_101	('focus', 'connects', 'frame')	True
binoculars	worker_101	('frame', 'connects', 'objective lens')	True
binoculars	worker_101	('frame', 'next to', 'ocular lens')	True
binoculars	worker_101	('frame', 'connects', 'ocular lens')	True
binoculars	worker_101	('adjustable eye cup', 'connects', 'diopter')	True
binoculars	worker_101	('adjustable eye cup', 'next to', 'diopter')	True
binoculars	worker_101	('focus', 'next to', 'diopter')	True
binoculars	worker_101	('frame', 'connects', 'diopter')	True
binoculars	worker_101	('frame', 'connects', 'focus')	True
