everyday-thing	worker id	part1	relation	part2	label
air conditioner	worker_100	hot coils	connects	expansion valve	TRUE
air conditioner	worker_100	hot coils	connects	compressor	TRUE
air conditioner	worker_100	expansion valve	connects	cold coils	TRUE
air conditioner	worker_100	compressor	connects	cold coils	TRUE
air conditioner	worker_100	expansion valve	connects	hot coils	TRUE
air conditioner	worker_100	compressor	connects	hot coils	TRUE
air conditioner	worker_100	cold coils	connects	expansion valve	TRUE
air conditioner	worker_100	cold coils	connects	compressor	TRUE
air conditioner	worker_101	hot coils	connects	compressor	TRUE
air conditioner	worker_101	hot coils	requires	compressor	TRUE
air conditioner	worker_101	hot coils	connects	expansion valve	TRUE
air conditioner	worker_101	compressor	connects	cold coils	TRUE
air conditioner	worker_101	cold coils	requires	compressor	TRUE
air conditioner	worker_101	cold coils	connects	expansion valve	TRUE
air conditioner	worker_101	compressor	connects	hot coils	TRUE
air conditioner	worker_101	compressor	requires	hot coils	FALSE
air conditioner	worker_101	compressor	required by	hot coils	TRUE
air conditioner	worker_101	expansion valve	connects	hot coils	TRUE
air conditioner	worker_101	cold coils	connects	compressor	TRUE
air conditioner	worker_101	compressor	requires	cold coils	FALSE
air conditioner	worker_101	compressor	required by	cold coils	TRUE
air conditioner	worker_101	expansion valve	connects	cold coils	TRUE
air conditioner	worker_101	hot coils	required by	compressor	FALSE
air conditioner	worker_101	cold coils	required by	compressor	FALSE
air conditioner	worker_102	compressor	requires	condenser	TRUE
air conditioner	worker_102	compressor	connects	condenser	TRUE
air conditioner	worker_102	compressor	requires	evaporator	TRUE
air conditioner	worker_102	compressor	connects	evaporator	TRUE
air conditioner	worker_102	condenser	requires	expansion valve	TRUE
air conditioner	worker_102	condenser	connects	expansion valve	TRUE
air conditioner	worker_102	evaporator	requires	expansion valve	TRUE
air conditioner	worker_102	evaporator	connects	expansion valve	TRUE
air conditioner	worker_102	condenser	requires	compressor	FALSE
air conditioner	worker_102	condenser	required by	compressor	TRUE
air conditioner	worker_102	condenser	connects	compressor	TRUE
air conditioner	worker_102	evaporator	requires	compressor	FALSE
air conditioner	worker_102	evaporator	required by	compressor	TRUE
air conditioner	worker_102	evaporator	connects	compressor	TRUE
air conditioner	worker_102	expansion valve	requires	condenser	FALSE
air conditioner	worker_102	expansion valve	required by	condenser	TRUE
air conditioner	worker_102	expansion valve	connects	condenser	TRUE
air conditioner	worker_102	expansion valve	requires	evaporator	FALSE
air conditioner	worker_102	expansion valve	required by	evaporator	TRUE
air conditioner	worker_102	expansion valve	connects	evaporator	TRUE
air conditioner	worker_102	compressor	required by	condenser	FALSE
air conditioner	worker_102	compressor	required by	evaporator	FALSE
air conditioner	worker_102	condenser	required by	expansion valve	FALSE
air conditioner	worker_102	evaporator	required by	expansion valve	FALSE
bicycle	worker_101	brake lever	connects	left handlebar	TRUE
bicycle	worker_101	left handlebar	above	frame	TRUE
bicycle	worker_101	left handlebar	connects	frame	TRUE
bicycle	worker_101	seat	above	frame	TRUE
bicycle	worker_101	seat	connects	frame	TRUE
bicycle	worker_101	brake	connects	frame	TRUE
bicycle	worker_101	chain	connects	frame	TRUE
bicycle	worker_101	gear	connects	frame	TRUE
bicycle	worker_101	rear wheel	connects	frame	TRUE
bicycle	worker_101	front wheel	connects	frame	TRUE
bicycle	worker_101	right handlebar	connects	frame	TRUE
bicycle	worker_101	right handlebar	above	frame	TRUE
bicycle	worker_101	front wheel	behind	rear wheel	TRUE
bicycle	worker_101	chain	surrounds	gear	TRUE
bicycle	worker_101	chain	connects	gear	TRUE
bicycle	worker_101	gear	connects	pedals	TRUE
bicycle	worker_101	brake	next to	rear wheel	TRUE
bicycle	worker_101	left handlebar	connects	brake lever	TRUE
bicycle	worker_101	frame	above	left handlebar	FALSE
bicycle	worker_101	frame	below	left handlebar	TRUE
bicycle	worker_101	frame	connects	left handlebar	TRUE
bicycle	worker_101	frame	above	seat	FALSE
bicycle	worker_101	frame	below	seat	TRUE
bicycle	worker_101	frame	connects	seat	TRUE
bicycle	worker_101	frame	connects	brake	TRUE
bicycle	worker_101	frame	connects	chain	TRUE
bicycle	worker_101	frame	connects	gear	TRUE
bicycle	worker_101	frame	connects	rear wheel	TRUE
bicycle	worker_101	frame	connects	front wheel	TRUE
bicycle	worker_101	frame	connects	right handlebar	TRUE
bicycle	worker_101	frame	above	right handlebar	FALSE
bicycle	worker_101	frame	below	right handlebar	TRUE
bicycle	worker_101	rear wheel	behind	front wheel	FALSE
bicycle	worker_101	rear wheel	in front of	front wheel	TRUE
bicycle	worker_101	gear	surrounds	chain	FALSE
bicycle	worker_101	gear	surrounded by	chain	TRUE
bicycle	worker_101	gear	connects	chain	TRUE
bicycle	worker_101	pedals	connects	gear	TRUE
bicycle	worker_101	rear wheel	next to	brake	TRUE
bicycle	worker_101	left handlebar	below	frame	FALSE
bicycle	worker_101	seat	below	frame	FALSE
bicycle	worker_101	right handlebar	below	frame	FALSE
bicycle	worker_101	front wheel	in front of	rear wheel	FALSE
bicycle	worker_101	chain	surrounded by	gear	FALSE
bicycle	worker_102	handlebars	connects	brake lever	TRUE
bicycle	worker_102	brake lever	requires	brake	TRUE
bicycle	worker_102	brake	connects	frame	TRUE
bicycle	worker_102	handlebars	connects	frame	TRUE
bicycle	worker_102	wheels	connects	frame	TRUE
bicycle	worker_102	seat	connects	frame	TRUE
bicycle	worker_102	frame	above	pedals	TRUE
bicycle	worker_102	pedals	requires	gear	TRUE
bicycle	worker_102	gear	connects	wheels	TRUE
bicycle	worker_102	pedals	requires	chain	TRUE
bicycle	worker_102	wheels	connects	chain	TRUE
bicycle	worker_102	brake lever	connects	handlebars	TRUE
bicycle	worker_102	brake	requires	brake lever	FALSE
bicycle	worker_102	brake	required by	brake lever	TRUE
bicycle	worker_102	frame	connects	brake	TRUE
bicycle	worker_102	frame	connects	handlebars	TRUE
bicycle	worker_102	frame	connects	wheels	TRUE
bicycle	worker_102	frame	connects	seat	TRUE
bicycle	worker_102	pedals	above	frame	FALSE
bicycle	worker_102	pedals	below	frame	TRUE
bicycle	worker_102	gear	requires	pedals	FALSE
bicycle	worker_102	gear	required by	pedals	TRUE
bicycle	worker_102	wheels	connects	gear	TRUE
bicycle	worker_102	chain	requires	pedals	FALSE
bicycle	worker_102	chain	required by	pedals	TRUE
bicycle	worker_102	chain	connects	wheels	TRUE
bicycle	worker_102	brake lever	required by	brake	FALSE
bicycle	worker_102	frame	below	pedals	FALSE
bicycle	worker_102	pedals	required by	gear	FALSE
bicycle	worker_102	pedals	required by	chain	FALSE
bicycle	worker_103	seat	above	frame	TRUE
bicycle	worker_103	frame	behind	handlebars	TRUE
bicycle	worker_103	frame	above	pedals	TRUE
bicycle	worker_103	pedals	connects	gear	TRUE
bicycle	worker_103	gear	connects	chain	TRUE
bicycle	worker_103	brake lever	part of	handlebars	TRUE
bicycle	worker_103	brake lever	connects	brake	TRUE
bicycle	worker_103	brake	surrounds	wheels	TRUE
bicycle	worker_103	frame	above	seat	FALSE
bicycle	worker_103	frame	below	seat	TRUE
bicycle	worker_103	handlebars	behind	frame	FALSE
bicycle	worker_103	handlebars	in front of	frame	TRUE
bicycle	worker_103	pedals	above	frame	FALSE
bicycle	worker_103	pedals	below	frame	TRUE
bicycle	worker_103	gear	connects	pedals	TRUE
bicycle	worker_103	chain	connects	gear	TRUE
bicycle	worker_103	handlebars	part of	brake lever	FALSE
bicycle	worker_103	handlebars	has part	brake lever	TRUE
bicycle	worker_103	brake	connects	brake lever	TRUE
bicycle	worker_103	wheels	surrounds	brake	FALSE
bicycle	worker_103	wheels	surrounded by	brake	TRUE
bicycle	worker_103	seat	above	pedals	TRUE
bicycle	worker_103	pedals	below	seat	TRUE
bicycle	worker_103	seat	below	frame	FALSE
bicycle	worker_103	frame	in front of	handlebars	FALSE
bicycle	worker_103	frame	below	pedals	FALSE
bicycle	worker_103	brake lever	has part	handlebars	FALSE
bicycle	worker_103	brake	surrounded by	wheels	FALSE
bicycle	worker_103	pedals	above	seat	FALSE
bicycle	worker_103	seat	below	pedals	FALSE
binoculars	worker_101	diopter	connects	adjustable eye cup	TRUE
binoculars	worker_101	diopter	next to	adjustable eye cup	TRUE
binoculars	worker_101	diopter	next to	focus	TRUE
binoculars	worker_101	diopter	connects	frame	TRUE
binoculars	worker_101	focus	connects	frame	TRUE
binoculars	worker_101	frame	connects	objective lens	TRUE
binoculars	worker_101	frame	next to	ocular lens	TRUE
binoculars	worker_101	frame	connects	ocular lens	TRUE
binoculars	worker_101	adjustable eye cup	connects	diopter	TRUE
binoculars	worker_101	adjustable eye cup	next to	diopter	TRUE
binoculars	worker_101	focus	next to	diopter	TRUE
binoculars	worker_101	frame	connects	diopter	TRUE
binoculars	worker_101	frame	connects	focus	TRUE
binoculars	worker_101	objective lens	connects	frame	TRUE
binoculars	worker_101	ocular lens	next to	frame	TRUE
binoculars	worker_101	ocular lens	connects	frame	TRUE
binoculars	worker_102	diopter	behind	objective lens	TRUE
binoculars	worker_102	diopter	connects	adjustable eye cup	TRUE
binoculars	worker_102	focus	behind	adjustable eye cup	TRUE
binoculars	worker_102	ocular lens	behind	adjustable eye cup	TRUE
binoculars	worker_102	adjustable eye cup	behind	diopter	TRUE
binoculars	worker_102	adjustable eye cup	connects	focus	TRUE
binoculars	worker_102	adjustable eye cup	connects	ocular lens	TRUE
binoculars	worker_102	objective lens	behind	diopter	FALSE
binoculars	worker_102	objective lens	in front of	diopter	TRUE
binoculars	worker_102	adjustable eye cup	connects	diopter	TRUE
binoculars	worker_102	adjustable eye cup	behind	focus	FALSE
binoculars	worker_102	adjustable eye cup	in front of	focus	TRUE
binoculars	worker_102	adjustable eye cup	behind	ocular lens	FALSE
